date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:20	53244/53244	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:15%20GMT	http://www.seet.net.cn/	C:/My%20Web%20Sites/seet/www.seet.net.cn/index.html	(from )
12:43:20	184/184	---M-Z	200	added ('OK')	text/plain	etag:%22f09c41f3ef7d61:0%22	http://www.seet.net.cn/robots.txt		(from )
12:43:22	413/413	---M-Z	200	added ('OK')	application/x-javascript	etag:%22605f38667c72d51:0%22	http://www.seet.net.cn/templates/pc_wjdh/js/n/baidupush.js	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/js/n/baidupush.js	(from http://www.seet.net.cn/)
12:43:25	19789/19789	---M-Z	200	added ('OK')	text/css	etag:%2202e6e49976fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/css/swiper.min.css	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/css/swiper.min.css	(from http://www.seet.net.cn/)
12:43:27	21219/21219	---M-Z	200	added ('OK')	text/css	etag:%22013d48976fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/css/css.css	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/css/css.css	(from http://www.seet.net.cn/)
12:43:28	26206/26206	---M-Z	200	added ('OK')	text/css	etag:%22807e1a6eb18bd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/css/in.css	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/css/in.css	(from http://www.seet.net.cn/)
12:43:33	277978/277978	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280d69b1986fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/js/jquery.min.js	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/js/jquery.min.js	(from http://www.seet.net.cn/)
12:43:33	3444/3444	---M--	200	added ('OK')	image/png	etag:%22a48da0518a73d51:0%22	http://img.dlwjdh.com/upload/8231/190925/d7857b7cdbea21170fafec329d63b27a@308X43.png	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/190925/d7857b7cdbea21170fafec329d63b27a@308X43.png	(from http://www.seet.net.cn/)
12:43:35	2203/2203	---M--	200	added ('OK')	image/png	etag:%22d2192a53976fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/images/phone.png	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/images/phone.png	(from http://www.seet.net.cn/)
12:43:36	40716/40716	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:36%20GMT	http://www.seet.net.cn/p6/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/index.html	(from http://www.seet.net.cn/)
12:43:36	90935/90935	---M--	200	added ('OK')	application/x-javascript	etag:%22cf4633c51abd71:0%22	http://img.dlwjdh.com/upload/saohei/index.js	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/saohei/index.js	(from http://www.seet.net.cn/)
12:43:37	34412/34412	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:36%20GMT	http://www.seet.net.cn/p7/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p7/index.html	(from http://www.seet.net.cn/)
12:43:37	46189/46189	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:37%20GMT	http://www.seet.net.cn/p2/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p2/index.html	(from http://www.seet.net.cn/)
12:43:39	33716/33716	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:38%20GMT	http://www.seet.net.cn/fwjc/	C:/My%20Web%20Sites/seet/www.seet.net.cn/fwjc/index.html	(from http://www.seet.net.cn/)
12:43:39	33691/33691	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:38%20GMT	http://www.seet.net.cn/csb/	C:/My%20Web%20Sites/seet/www.seet.net.cn/csb/index.html	(from http://www.seet.net.cn/)
12:43:39	33770/33770	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:38%20GMT	http://www.seet.net.cn/fdp/	C:/My%20Web%20Sites/seet/www.seet.net.cn/fdp/index.html	(from http://www.seet.net.cn/)
12:43:40	1198/1198	---M--	200	added ('OK')	image/png	etag:%223c26c74e976fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/images/bullet-24-24-4.png	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/images/bullet-24-24-4.png	(from http://www.seet.net.cn/)
12:43:40	33666/33666	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:40%20GMT	http://www.seet.net.cn/mj/	C:/My%20Web%20Sites/seet/www.seet.net.cn/mj/index.html	(from http://www.seet.net.cn/)
12:43:41	5800/5800	---M--	200	added ('OK')	image/png	etag:%2224ec64d976fd51:0%22	http://www.seet.net.cn/templates/pc_wjdh/images/arrows.png	C:/My%20Web%20Sites/seet/www.seet.net.cn/templates/pc_wjdh/images/arrows.png	(from http://www.seet.net.cn/)
12:43:41	33770/33770	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:41%20GMT	http://www.seet.net.cn/nlg/	C:/My%20Web%20Sites/seet/www.seet.net.cn/nlg/index.html	(from http://www.seet.net.cn/)
12:43:42	33666/33666	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:41%20GMT	http://www.seet.net.cn/gz/	C:/My%20Web%20Sites/seet/www.seet.net.cn/gz/index.html	(from http://www.seet.net.cn/)
12:43:43	33666/33666	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:42%20GMT	http://www.seet.net.cn/sb/	C:/My%20Web%20Sites/seet/www.seet.net.cn/sb/index.html	(from http://www.seet.net.cn/)
12:43:43	33691/33691	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:43%20GMT	http://www.seet.net.cn/txz/	C:/My%20Web%20Sites/seet/www.seet.net.cn/txz/index.html	(from http://www.seet.net.cn/)
12:43:43	33666/33666	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:43%20GMT	http://www.seet.net.cn/qc/	C:/My%20Web%20Sites/seet/www.seet.net.cn/qc/index.html	(from http://www.seet.net.cn/)
12:43:46	42894/42894	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:45%20GMT	http://www.seet.net.cn/products/	C:/My%20Web%20Sites/seet/www.seet.net.cn/products/index.html	(from http://www.seet.net.cn/)
12:43:47	47221/47221	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:47%20GMT	http://www.seet.net.cn/p1/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p1/index.html	(from http://www.seet.net.cn/)
12:44:04	33794/33794	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:13:44%20GMT	http://www.seet.net.cn/fdcb/	C:/My%20Web%20Sites/seet/www.seet.net.cn/fdcb/index.html	(from http://www.seet.net.cn/)
12:44:07	33771/33771	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:06%20GMT	http://www.seet.net.cn/p3/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p3/index.html	(from http://www.seet.net.cn/)
12:44:11	37925/37925	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:08%20GMT	http://www.seet.net.cn/p6/1252675.html	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/1252675.html	(from http://www.seet.net.cn/)
12:44:12	33825/33825	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:12%20GMT	http://www.seet.net.cn/p8/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p8/index.html	(from http://www.seet.net.cn/)
12:44:44	196038/196038	---M--	200	added ('OK')	image/jpeg	etag:%227e6de830f91ed71:0%22	http://img.dlwjdh.com/upload/8231/210322/9fd1347f284cbfe91e0a14c7233ea575.jpg	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/210322/9fd1347f284cbfe91e0a14c7233ea575.jpg	(from http://www.seet.net.cn/)
12:44:47	33771/33771	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:46%20GMT	http://www.seet.net.cn/p9/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p9/index.html	(from http://www.seet.net.cn/)
12:44:48	38364/38364	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:47%20GMT	http://www.seet.net.cn/p6/1115499.html	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/1115499.html	(from http://www.seet.net.cn/)
12:44:50	33771/33771	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:14:48%20GMT	http://www.seet.net.cn/p4/	C:/My%20Web%20Sites/seet/www.seet.net.cn/p4/index.html	(from http://www.seet.net.cn/)
12:45:01	56723/56723	---M--	200	added ('OK')	image/jpeg	etag:%22f1598bd9fdad61:0%22	http://img.dlwjdh.com/upload/8231/201225/f0bcfcad78a0898edd82ae04aa152462.jpg	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/201225/f0bcfcad78a0898edd82ae04aa152462.jpg	(from http://www.seet.net.cn/)
12:45:05	33772/33772	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:04%20GMT	http://www.seet.net.cn/ghl/	C:/My%20Web%20Sites/seet/www.seet.net.cn/ghl/index.html	(from http://www.seet.net.cn/)
12:45:05	36897/36897	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:05%20GMT	http://www.seet.net.cn/p6/1059879.html	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/1059879.html	(from http://www.seet.net.cn/)
12:45:10	31478/31478	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:08%20GMT	http://www.seet.net.cn/case/	C:/My%20Web%20Sites/seet/www.seet.net.cn/case/index.html	(from http://www.seet.net.cn/)
12:45:21	57945/57945	---M--	200	added ('OK')	image/jpeg	etag:%22ee6316cbcc3d61:0%22	http://img.dlwjdh.com/upload/8231/201126/81fd6ae4fdae6291ce09c0ca43a209f6.jpg	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/201126/81fd6ae4fdae6291ce09c0ca43a209f6.jpg	(from http://www.seet.net.cn/)
12:45:27	34050/34050	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:25%20GMT	http://www.seet.net.cn/honor/	C:/My%20Web%20Sites/seet/www.seet.net.cn/honor/index.html	(from http://www.seet.net.cn/)
12:45:28	38108/38108	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:28%20GMT	http://www.seet.net.cn/p6/880960.html	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/880960.html	(from http://www.seet.net.cn/)
12:45:30	39291/39291	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:15:30%20GMT	http://www.seet.net.cn/news/	C:/My%20Web%20Sites/seet/www.seet.net.cn/news/index.html	(from http://www.seet.net.cn/)
12:45:56	873899/873899	---M--	200	added ('OK')	image/jpeg	etag:%22ca53edd2a57ad61:0%22	http://img.dlwjdh.com/upload/8231/200825/9ff0278fa53b5451451bb67ab3d933cc@1920X550.jpg	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/200825/9ff0278fa53b5451451bb67ab3d933cc@1920X550.jpg	(from http://www.seet.net.cn/)
12:45:59	169895/169895	---M--	200	added ('OK')	image/jpeg	etag:%22eefda28a8f7ad61:0%22	http://img.dlwjdh.com/upload/8231/200825/d85b74ead031f59558c12215bfa648aa.jpg	C:/My%20Web%20Sites/seet/img.dlwjdh.com/upload/8231/200825/d85b74ead031f59558c12215bfa648aa.jpg	(from http://www.seet.net.cn/)
12:46:02	42084/42084	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:16:00%20GMT	http://www.seet.net.cn/p6/360852.html	C:/My%20Web%20Sites/seet/www.seet.net.cn/p6/360852.html	(from http://www.seet.net.cn/)
12:46:03	38951/38951	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:16:00%20GMT	http://www.seet.net.cn/meitibaodao/	C:/My%20Web%20Sites/seet/www.seet.net.cn/meitibaodao/index.html	(from http://www.seet.net.cn/)
12:46:05	31928/31928	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:16:04%20GMT	http://www.seet.net.cn/question/	C:/My%20Web%20Sites/seet/www.seet.net.cn/question/index.html	(from http://www.seet.net.cn/)
12:46:06	38776/38776	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2007:16:04%20GMT	http://www.seet.net.cn/yyxw/	C:/My%20Web%20Sites/seet/www.seet.net.cn/yyxw/index.html	(from http://www.seet.net.cn/)
